CUSTOMER ID,Total_Spent
6035558647,131685.3
2155554369,48048.46
6175559555,83209.88
5085559555,108951.13
6175558428,26479.26
6505555787,74476.18
2035559545,79472.07
2035554407,57294.42
2125557413,197736.94
6175558555,184658.36
4085553659,160010.27
6175552555,70859.78
6175555555,36163.62
6505551386,149882.5
3105552373,9129.35
2035552570,101894.79
6505556809,120783.07
4155551450,654858.06
3105553722,46084.64
2125557818,164069.44
2155551555,122138.14
2125551957,33144.93
2155554695,67506.97
NULL,6404646.02
2125551500,88041.26
6175557555,57197.96
7025551838,82751.08
4155554312,50218.51
2015559350,83228.19
9145554562,85555.99
7605558146,87489.23
6265557265,104561.96
2155559857,83682.16
2125558493,77795.2
5085552555,98923.73
